date,signal_adjusted_equity_exposure,bl_relative_equity_exposure,classic_equity_exposure
2026-01-02,1.0,1.0,1.0
2026-01-05,0.8780711333333333,1.0,0.8780711333333333
2026-01-06,1.0,1.0,1.0
2026-01-07,1.0,1.0,1.0
2026-01-08,1.0,1.0,1.0
2026-01-09,1.0,1.0,1.0
2026-01-12,1.0,1.0,1.0
2026-01-13,1.0,1.0,1.0
2026-01-14,1.0,1.0,1.0
2026-01-15,1.0,1.0,1.0
2026-01-16,1.0,1.0,1.0
2026-01-20,0.8,1.0,0.8
2026-01-21,0.8,1.0,0.8
2026-01-22,1.0,1.0,1.0
2026-01-23,1.0,1.0,1.0
2026-01-26,1.0,1.0,0.9889748
2026-01-27,0.8,1.0,0.8149704666666667
2026-01-28,0.8,0.8,0.8
2026-01-29,0.9057943333333334,1.0,0.8882956666666667
2026-01-30,1.0,1.0,1.0
2026-02-02,1.0,1.0,1.0
2026-02-03,1.0,1.0,1.0
2026-02-04,1.0,1.0,1.0
2026-02-05,0.9101148,1.0,0.8711792
2026-02-06,1.0,1.0,1.0
2026-02-09,1.0,1.0,1.0
2026-02-10,0.8,1.0,0.8335007333333333
2026-02-11,0.8,0.8,0.8
2026-02-12,1.0,1.0,0.983727
2026-02-13,0.9062713333333333,1.0,0.9461907333333333
2026-02-17,1.0,1.0,1.0
2026-02-18,1.0,1.0,1.0
2026-02-19,1.0,1.0,1.0
2026-02-20,1.0,1.0,1.0
2026-02-23,1.0,1.0,1.0
2026-02-24,0.9757458,1.0,0.9962876666666667
2026-02-25,1.0,1.0,1.0
2026-02-26,1.0,1.0,0.8716366000000001
2026-02-27,0.8143632000000001,1.0,0.8088901333333334
2026-03-02,1.0,1.0,1.0
2026-03-03,1.0,1.0,1.0
2026-03-04,1.0,1.0,1.0
2026-03-05,1.0,1.0,1.0
2026-03-06,0.8558260666666667,1.0,0.8834737333333333
2026-03-09,1.0,1.0,1.0
2026-03-10,0.9389468185600001,1.0,0.8411095333333334
2026-03-11,1.0,1.0,1.0
2026-03-12,1.0,1.0,1.0
2026-03-13,1.0,1.0,1.0
2026-03-16,1.0,1.0,1.0
2026-03-17,0.9079036666666667,0.88316135432,0.9117086666666667
2026-03-18,1.0,1.0,1.0
2026-03-19,1.0,1.0,1.0
2026-03-20,1.0,1.0,1.0
2026-03-23,1.0,1.0,1.0
2026-03-24,1.0,1.0,1.0
2026-03-25,0.8081278666666667,0.8881763906266666,0.8
2026-03-26,1.0,1.0,1.0
2026-03-27,0.8,0.8,0.8
2026-03-30,1.0,1.0,1.0
2026-03-31,1.0,1.0,1.0
2026-04-01,1.0,1.0,1.0
2026-04-02,1.0,1.0,1.0
2026-04-06,1.0,1.0,1.0
2026-04-07,1.0,1.0,0.8
2026-04-08,1.0,1.0,0.9319012
2026-04-09,1.0,1.0,1.0
2026-04-10,1.0,1.0,0.8784604666666667
2026-04-13,1.0,1.0,1.0
2026-04-14,1.0,1.0,1.0
2026-04-15,1.0,1.0,1.0
2026-04-16,1.0,1.0,1.0
2026-04-17,1.0,1.0,1.0
2026-04-20,1.0,1.0,1.0
2026-04-21,1.0,1.0,1.0
2026-04-22,1.0,1.0,1.0
2026-04-23,1.0,1.0,1.0
2026-04-24,1.0,1.0,1.0
2026-04-27,1.0,1.0,1.0
2026-04-28,1.0,1.0,0.9407996
2026-04-29,1.0,1.0,1.0
2026-04-30,1.0,1.0,1.0
2026-05-01,1.0,1.0,1.0
2026-05-04,1.0,1.0,0.8548420666666667
2026-05-05,1.0,1.0,1.0
2026-05-06,1.0,1.0,1.0
2026-05-07,1.0,1.0,1.0
2026-05-08,1.0,1.0,1.0
2026-05-11,0.9486556666666667,1.0,0.933581
2026-05-12,1.0,1.0,1.0
2026-05-13,1.0,1.0,1.0
2026-05-14,0.8887862,1.0,0.8342189333333334
2026-05-15,0.8,1.0,0.8
2026-05-18,1.0,1.0,1.0
2026-05-19,1.0,1.0,1.0
2026-05-20,1.0,1.0,1.0
2026-05-21,1.0,1.0,1.0
2026-05-22,0.9221364,0.8510788512951797,0.9306076666666667
2026-05-26,1.0,1.0,1.0
2026-05-27,1.0,1.0,1.0
2026-05-28,1.0,1.0,1.0
